HEX,L*,a*,b*
#d2a291,70.5865463026525,15.35099977477039,15.683674747633791
#d66b60,57.71279561414599,41.005738432441596,25.744932028243326
#c54953,48.59017896874114,50.16429274361256,20.847764967611315
#ab2327,37.859000090474716,53.71949118614266,33.02595742045109
#a31213,34.53636666925184,54.98871261804123,40.28810163625415
#4e1a62,20.98224181349049,36.48016057116138,-31.796447707073128
#dda185,71.25416565480339,18.72662758857835,23.355721313636213
#cd7950,59.19249490095011,28.956927201795768,36.26313024390555
#ee8756,66.65859034161939,35.15497528318401,43.073376341091496
#c7782b,57.8015685830204,24.98014522283509,52.69722901467554
#e0dcba,87.28043777052747,-4.217507289427158,17.23056221591093
#d7c665,79.4867270988234,-6.428502074578124,50.169929052294826
#d5af1f,72.83125772254637,1.004295259537935,70.45732328106536
#c5d0b0,81.90160788624449,-9.370477681794497,14.647882663132105
#99c475,74.53133352809888,-28.166961471500162,35.10976097118292
#2b784a,44.857660983765385,-34.8606691614301,18.480895157371634
#0d5636,31.82289968527624,-29.93847152854209,12.684174490284605
#569e93,60.37092771642463,-25.345078041947023,-1.2703934720602605
#81bac1,71.98260082683794,-16.69015759694431,-9.44793427862658
#48929d,56.45444751332225,-19.774025256939055,-12.847355695270357
#7ab5c7,70.39020300124518,-14.486827952809145,-15.15978046382389
#0674aa,46.21740190778754,-6.834022216527735,-36.30435804770329
#042f82,22.54814849933107,22.359137188835867,-50.09649284884941
#dbd9c2,86.29634261192672,-3.2310011109622505,11.586182750651265
#c4b193,73.0810508360159,2.095434421623854,17.858413663388163
#b28d61,61.11512512072676,8.2043171451196,28.765973680763256
#552b11,22.653949505864745,17.06375258804188,24.814119627693998
#827c7c,52.52721889130828,2.2712270043032667,0.8152285613868271
